CAR NAME,BRAND,LOCATION,PRICE (INR),FUEL TYPE,TRANSMISSION,KM DRIVEN,MANUFACTURE YEAR
2019 Honda AmazeS Petrol,Honda,Odisha ,500000,Petrol,Manual,200396,2019
2016 Toyota Innova2.5 G (Diesel) 7 Seater BS IV,Toyota,Odisha ,1250000,Diesel,Manual,68260,2016
2012 Audi Q52.0 TDI,Audi,Odisha ,1000000,Diesel,Automatic,120000,2012
2020 Hyundai VenueS Diesel BSIV,Hyundai,Odisha ,690000,Diesel,Manual,58000,2020
2024 Jaguar F-Pace2.0 R-Dynamic S Diesel,Jaguar,West Bengal,7000000,Diesel,Automatic,30000,2024
2022 Nissan MagniteXV BSVI,Nissan,West Bengal,552000,Petrol,Manual,10644,2022
2021 Kia SonetHTX Turbo iMT BSVI,Kia,West Bengal,708000,Petrol,Manual,59318,2021
2024 Renault KigerRXL,Renault,West Bengal,600000,Petrol,Manual,5180,2024
2024 MG AstorSelect CVT,MG,West Bengal,1400000,Petrol,Automatic,10000,2024
2023 Mahindra Bolero NeoN8,Mahindra,West Bengal,919999,Diesel,Manual,4900,2023
2022 Kia SeltosHTK Plus G,Kia,West Bengal,1118000,Petrol,Manual,13890,2022
2023 Hyundai ExterS AMT,Hyundai,West Bengal,850000,Petrol,Automatic,12493,2023
2024 Kia SeltosHTX Diesel AT,Kia,West Bengal,1650000,Diesel,Automatic,30000,2024
2024 Toyota TaisorG Turbo,Toyota,West Bengal,831000,Petrol,Manual,19113,2024
2023 Renault KigerRXZ,Renault,West Bengal,727000,Petrol,Manual,17328,2023
2024 Kia SeltosGTX Plus Diesel AT,Kia,West Bengal,1950000,Diesel,Automatic,28000,2024
2024 Kia SonetHTK Plus,Kia,West Bengal,1025000,Petrol,Manual,10000,2024
2024 Tata PunchAdventure,Tata,West Bengal,697000,Petrol,Manual,11645,2024
2022 Kia SonetHTX Turbo iMT Anniversary Edition,Kia,West Bengal,909000,Petrol,Automatic,42183,2022
2023 Maruti Alto K10VXI,Maruti,West Bengal,430000,Petrol,Manual,6200,2023
2023 Audi Q3Premium Plus BSVI,Audi,West Bengal,3800000,Petrol,Automatic,18000,2023
2024 BMW XMxDrive,BMW,West Bengal,21000000,Petrol,Automatic,13734,2024
2023 Maruti Alto K10VXI,Maruti,West Bengal,404000,Petrol,Manual,11436,2023
2024 Honda AmazeVX CVT,Honda,West Bengal,850000,Petrol,Automatic,35413,2024
