CAR NAME,BRAND,LOCATION,PRICE (INR),FUEL TYPE,TRANSMISSION,KM DRIVEN,MANUFACTURE YEAR
2018 Maruti CelerioVXI,Maruti, Gujarat,355000,Petrol,Manual,26033,2018
2021 Nissan MagniteXL BSVI,Nissan, Gujarat,476000,Petrol,Manual,57569,2021
2016 Honda Jazz1.2 E i VTEC,Honda, Gujarat,200000,Petrol,Manual,150000,2016
2021 Maruti BalenoSigma,Maruti, Gujarat,535000,Petrol,Manual,32500,2021
2021 Maruti BalenoSigma,Maruti, Gujarat,525000,Petrol,Manual,32000,2021
2022 Renault KigerRXT,Renault, Gujarat,530000,Petrol,Manual,52285,2022
2024 Tata TiagoXT,Tata, Gujarat,600000,Petrol,Manual,13000,2024
2024 Maruti FRONXZeta Turbo,Maruti, Gujarat,983000,Petrol,Manual,11148,2024
2022 Hyundai CretaEX BSVI,Hyundai, Gujarat,999000,Petrol,Manual,64000,2022
2023 Maruti CelerioVXI,Maruti, Gujarat,455000,Petrol,Manual,13106,2023
2023 Honda ElevateZX CVT,Honda, Gujarat,1551000,Petrol,Automatic,20000,2023
2016 Renault KWID1.0 RXT,Renault, Gujarat,235000,Petrol,Manual,42000,2016
2022 Kia CarensLuxury Plus Diesel AT 6 STR BSVI,Kia, Gujarat,1274000,Diesel,Automatic,60887,2022
2023 Kia CarensPrestige Plus Diesel,Kia, Gujarat,1190000,Diesel,Manual,16591,2023
2023 Mercedes-Benz E-ClassExclusive E 200,Mercedes, Gujarat,6251000,Petrol,Automatic,40000,2023
2022 Kia CarensPrestige Plus Diesel,Kia, Gujarat,1173000,Diesel,Manual,22514,2022
2020 Kia SonetHTX Turbo iMT,Kia, Gujarat,759000,Petrol,Automatic,55813,2020
2024 Renault KWID1.0 RXE,Renault, Gujarat,459999,Petrol,Manual,8543,2024
2024 Jaguar F-Pace2.0 R-Dynamic S Diesel,Jaguar,Rajasthan,7000000,Diesel,Automatic,30000,2024
2022 Nissan MagniteXV BSVI,Nissan,Rajasthan,552000,Petrol,Manual,10644,2022
