Car Name,Brand,Location,Price (INR),Fuel Type,Transmission,Km Driven,Manufacture Year
2017 Maruti SwiftVXI,Maruti,Gujarat,435000,Petrol,Manual,58000,2017
2023 Hyundai ExterS Opt,Hyundai,Gujarat,720000,Petrol,Manual,61000,2023
2021 Maruti BalenoSigma,Maruti,Gujarat,525000,Petrol,Manual,32000,2021
2021 MG Hector PlusSharp CVT,MG,Gujarat,1200000,Petrol,Automatic,40000,2021
2022 Hyundai CretaEX BSVI,Hyundai,Gujarat,999000,Petrol,Manual,64000,2022
2023 Hyundai VenueS Opt 2023-2025,Hyundai,Gujarat,899000,Petrol,Manual,4200,2023
2019 Maruti Baleno1.2 Zeta,Maruti,Gujarat,575000,Petrol,Manual,40000,2019
2016 Honda Jazz1.2 E i VTEC,Honda,Gujarat,200000,Petrol,Manual,150000,2016
2021 Maruti Vitara BrezzaLXI,Maruti,Gujarat,699000,Petrol,Manual,78000,2021
2021 Maruti BalenoSigma,Maruti,Gujarat,535000,Petrol,Manual,32500,2021
2012 Maruti Swift DzireVXI,Maruti,Gujarat,315000,Petrol,Manual,71000,2012
2020 Kia SeltosHTX IVT G,Kia,Gujarat,1150000,Petrol,Automatic,120000,2020
2017 Maruti DzireZXI Plus,Maruti,Gujarat,571000,Petrol,Manual,81925,2017
2019 Jeep Compass1.4 Limited,Jeep,Gujarat,890000,Petrol,Automatic,42044,2019
2019 Honda AmazeS CVT Petrol BSIV,Honda,Gujarat,590000,Petrol,Automatic,66000,2019
2024 Tata TiagoXT,Tata,Gujarat,600000,Petrol,Manual,13000,2024
2023 MG AstorSmart MT,MG,Gujarat,1175000,Petrol,Manual,24471,2023
2020 Kia SonetHTX Turbo iMT,Kia,Gujarat,748000,Petrol,Automatic,58146,2020
2023 Skoda Kushaq1.0 TSI Style AT,Skoda,Gujarat,1450000,Petrol,Automatic,14800,2023
2024 Jaguar F-Pace2.0 R-Dynamic S Diesel,Jaguar,Rajasthan,7000000,Diesel,Automatic,30000,2024
2023 Hyundai CretaE,Hyundai,Rajasthan,1050000,Petrol,Manual,21942,2023
2021 Maruti IgnisSigma BSVI,Maruti,Rajasthan,580000,Petrol,Manual,31278,2021
2023 Kia SeltosGTX Plus Diesel AT,Kia,Rajasthan,1775000,Diesel,Automatic,17000,2023
2024 Volkswagen VirtusHighline,Volkswagen,Rajasthan,1200000,Petrol,Manual,3400,2024
2022 Renault KigerRXE,Renault,Rajasthan,748000,Petrol,Manual,18000,2022
2019 Maruti Swift DzireVXI 1.2,Maruti,Rajasthan,675000,Petrol,Manual,72869,2019
2022 Mercedes-Benz AMG GLC 434MATIC Coupe,Mercedes,Rajasthan,8200000,Petrol,Automatic,24000,2022
2023 BMW 3 Series Long Wheelbase330Li M Sport GL,BMW,Rajasthan,4800000,Petrol,Automatic,40000,2023
2010 Hyundai Santro XingGLS,Hyundai,Rajasthan,170000,Petrol,Manual,112323,2010
2023 Hyundai ExterSX Opt Connect AMT,Hyundai,Rajasthan,850000,Petrol,Automatic,26565,2023
2021 Kia SonetGTX Plus Turbo DCT,Kia,Rajasthan,1010000,Petrol,Automatic,41563,2021
2019 Hyundai VenueS Turbo BSIV,Hyundai,Rajasthan,620000,Petrol,Manual,60000,2019
2019 Hyundai SantroSportz BSIV,Hyundai,Rajasthan,398000,Petrol,Manual,25106,2019
2021 Land Rover Range Rover Evoque2.0 R-Dynamic SE diesel 2020-2021,Land,Rajasthan,5700000,Diesel,Automatic,40000,2021
2022 Skoda Kushaq1.0 TSI Active BSVI,Skoda,Rajasthan,950000,Petrol,Manual,36000,2022
2019 Hyundai Creta1.6 SX Automatic,Hyundai,Rajasthan,1150000,Petrol,Automatic,50000,2019
2020 BMW X1sDrive20i SportX,BMW,Rajasthan,3100000,Petrol,Automatic,58000,2020
2023 Nissan MagniteKuro MT,Nissan,Rajasthan,675000,Petrol,Manual,35000,2023
2024 BMW 3 Series Long Wheelbase330Li M Sport Pro GL,BMW,Rajasthan,5500000,Petrol,Automatic,18000,2024
2022 Land Rover Defender2.0 110 HSE,Land,Madhya Pradesh,9800000,Petrol,Automatic,4600,2022
2023 Maruti FRONXSigma,Maruti,Madhya Pradesh,690000,Petrol,Manual,32000,2023
2024 Maruti BrezzaLxi,Maruti,Madhya Pradesh,900000,Petrol,Manual,10500,2024
2025 Maruti FRONXDelta,Maruti,Madhya Pradesh,895000,Petrol,Manual,1100,2025
2024 Jaguar F-Pace2.0 R-Dynamic S Diesel,Jaguar,Madhya Pradesh,7000000,Diesel,Automatic,30000,2024
2023 Citroen C5 AircrossShine Dual Tone,Citroen,Madhya Pradesh,849000,Diesel,Automatic,17944,2023
2022 Maruti BalenoSigma,Maruti,Madhya Pradesh,575000,Petrol,Manual,5000,2022
2024 Land Rover Defender2.0 l Petrol 110 X-Dynamic HSE,Land,Delhi,11800000,Petrol,Automatic,7900,2024
2024 Land Rover Defender2.0 110 HSE,Land,Delhi,8400000,Petrol,Automatic,8000,2024
2024 BMW XMxDrive,BMW,Madhya Pradesh,21000000,Petrol,Automatic,13734,2024
2023 BMW 3 Series Long Wheelbase320Ld M Sport GL,BMW,Madhya Pradesh,6500000,Diesel,Automatic,1800,2023
2023 Hyundai ExterS AMT,Hyundai,Madhya Pradesh,835000,Petrol,Automatic,12493,2023
